name,bioguide_id,party,state,chamber,composite_score,scale_score,concentration_score,personal_score,total_financial_exposure,financial_trades,financial_pac,financial_individual,trade_count,pac_count,individual_count,unified_hhi,dominant_sector,dominant_pct,net_worth_display,net_worth_midpoint,wealth_tier,net_worth_is_estimate,pac_banking,pac_insurance,pac_real_estate,pac_investment,pac_lending,pac_payments,pac_credit_unions,pac_private_equity,top_pac_1,top_pac_1_amount,top_pac_1_sector,top_pac_2,top_pac_2_amount,top_pac_2_sector,top_pac_3,top_pac_3_amount,top_pac_3_sector,top_employer_1,top_employer_1_amount,top_employer_1_sector,top_employer_2,top_employer_2_amount,top_employer_2_sector,hfsc_member,sbc_member
"Van Epps, Matt",V000139,R,Tennessee,house,5.9,14.7,0.0,0.0,32500.0,0,0,350.0,0,10,1,3376.6,real_estate,45.7,$1M-$5M,3000000,$1M-$5M,Yes,0,10500.0,15000.0,0,2000.0,0,5000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,10000.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",5000.0,credit_unions,"INDEPENDENT INSURANCE AGENTS & BROKERS OF AMERICA, INC. POLITICAL ACTION COMMITTEE (INSURPAC)",5000.0,insurance,LPL FINANCIAL LLC,350.0,financial_services,,0,,No,No
"Grijalva, Adelita S.",G000606,D,Arizona,house,2.8,6.9,0.0,0.0,20000.0,0,0,0,0,4,0,3750.0,credit_unions,50.0,$1M-$5M,3000000,$1M-$5M,Yes,0,5000.0,5000.0,0,0,0,10000.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",10000.0,credit_unions,PROGRESSIVE MAJORITY PAC,5000.0,insurance,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,5000.0,real_estate,,0,,,0,,No,No
"Crawford, Eric A. ""Rick""",C001087,R,Arkansas,house,18.4,46.0,0.0,0.0,78000.0,0,0,8800.0,0,48,4,2441.5,banking,30.0,$1M-$5M,3000000,$1M-$5M,Yes,19000.0,19000.0,29000.0,0,11000.0,0,0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,12000.0,real_estate,THE FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE,11000.0,lending,INDEPENDENT COMMUNITY BANKERS OF AMERICA POLITICAL ACTION COMMITTEE (ICBA PAC),11000.0,banking,ARVEST BANK,6800.0,banking,STATE FARM,1000.0,insurance,No,No
"Young, Todd",Y000064,R,Indiana,senate,10.9,27.4,0.0,0.0,52000.0,0,0,10000.0,0,45,16,3829.9,insurance,59.9,$1M-$5M,3000000,$1M-$5M,Yes,5000.0,38500.0,0,5000.0,0,3500.0,0,0,NEW YORK LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,10000.0,insurance,PRINCIPAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,6000.0,insurance,PRUDENTIAL FINANCIAL INC. FEDERAL POLITICAL ACTION COMMITTEE (AKA - PRUDENTIAL FEDERAL PAC),5500.0,insurance,NORTHWESTERN MUTUAL,2500.0,insurance,NATIONAL ASSOCIATION OF REALTORS,1500.0,real_estate,No,No
"Wyden, Ron",W000779,D,Oregon,senate,41.8,25.0,65.0,41.0,49000.0,0,0,1422.0,6,30,59,5353.4,insurance,71.6,$1M-$5M,3000000,$1M-$5M,Yes,0,38500.0,0,5500.0,0,0,5000.0,0,"AMERICA'S HEALTH INSURANCE PLANS, INC. PAC (AHIP PAC)",10000.0,insurance,PRINCIPAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE,8000.0,insurance,"NAFCU PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",5000.0,credit_unions,STANDARD INSURANCE CO.,757.0,insurance,KAISER PERMANENTE,665.0,insurance,No,No
"Warren, Elizabeth",W000817,D,Massachusetts,senate,0.0,0.0,0.0,0.0,0,0,0,12014.0,0,0,485,2464.8,banking,30.7,$1M-$5M,3000000,$1M-$5M,Yes,0,0,0,0,0,0,0,0,,0,,,0,,,0,,KAISER PERMANENTE,1793.0,insurance,SCHWAB,1337.0,investment,No,Yes
"Whitehouse, Sheldon",W000802,D,Rhode Island,senate,53.9,60.0,44.0,55.8,101010.0,52010,0,18925.0,95,12,16,2342.9,real_estate,37.2,$1M-$5M,3000000,$1M-$5M,Yes,0,12500.0,24000.0,0,2500.0,0,10000.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",10000.0,credit_unions,NATIONAL MULTIFAMILY HOUSING COUNCIL AND REAL ESTATE TECHNOLOGY AND TRANSFORMATION CENTER POLITICAL ACTION COMMITTEE (NMHC PAC),10000.0,real_estate,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,8000.0,real_estate,BAIN CAPITAL,9500.0,private_equity,MORGAN STANLEY,3500.0,investment_banking,No,No
"Welch, Peter",W000800,D,Vermont,senate,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,,0,$1M-$5M,3000000,$1M-$5M,Yes,0,0,0,0,0,0,0,0,,0,,,0,,,0,,,0,,,0,,No,No
"Wicker, Roger F.",W000437,R,Mississippi,senate,23.0,57.5,0.0,0.0,97500.0,0,0,80635.0,0,115,54,1496.3,banking,23.0,$1M-$5M,3000000,$1M-$5M,Yes,28000.0,19500.0,30000.0,0,10000.0,10000.0,0,0,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),11000.0,insurance,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),10000.0,banking,NATIONAL MULTIFAMILY HOUSING COUNCIL AND REAL ESTATE TECHNOLOGY AND TRANSFORMATION CENTER POLITICAL ACTION COMMITTEE (NMHC PAC),10000.0,real_estate,BLACKSTONE,14200.0,private_equity,GENERAL DYNAMICS,14000.0,insurance,No,No
"Warnock, Raphael G.",W000790,D,Georgia,senate,7.1,17.7,0.0,0.0,37500.0,0,0,25866.0,0,14,606,3099.7,insurance,50.8,$1M-$5M,3000000,$1M-$5M,Yes,0,18500.0,500.0,10000.0,0,0,2500.0,0,AMERICAN COUNCIL OF LIFE INSURERS POLITICAL ACTION COMMITTEE,7500.0,insurance,AMERICAN INVESTMENT COUNCIL POLITICAL ACTION COMMITTEE,5000.0,investment,PRUDENTIAL FINANCIAL INC. FEDERAL POLITICAL ACTION COMMITTEE (AKA - PRUDENTIAL FEDERAL PAC),5000.0,insurance,AFLAC,9100.0,insurance,FREDDIE MAC,2910.0,lending,No,Yes
"Tuberville, Tommy",T000278,R,Alabama,senate,78.9,97.2,33.5,100.0,479551.0,430051,0,1591.0,635,24,4,2073.3,insurance,31.3,$5M-$15M,10000000,$5M-$25M,No,16000.0,16000.0,4000.0,0,8500.0,0,0,0,CADENCE BANK PAC,10000.0,banking,CROP INSURANCE PROFESSIONALS ASSOCIATION PAC-CIPA PAC,6000.0,insurance,REGIONS FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,6000.0,banking,CIGNA,1500.0,insurance,STATE FARM INSURANCE,91.0,insurance,No,No
"Warner, Mark R.",W000805,D,Virginia,senate,61.9,64.6,80.0,40.2,108000.0,0,0,350518.0,1,190,299,1317.1,investment,20.1,$1M-$5M,3000000,$1M-$5M,Yes,30000.0,20000.0,0,24500.0,13500.0,10000.0,0,0,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE (BLACKROCK PAC),15000.0,investment,MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC),13500.0,lending,MASTERCARD INTERNATIONAL INC. EMPLOYEE PAC (MASTERCARD PAC) OR (MASTERCARD EMPLOYEE PAC),10000.0,payments,CAPITAL GROUP,50000.0,investment,GOLDMAN SACHS,43600.0,investment_banking,No,Yes
"Van Hollen, Chris",V000128,D,Maryland,senate,2.2,5.6,0.0,0.0,17000.0,0,0,10100.0,0,9,5,1827.5,securities,31.7,$1M-$5M,3000000,$1M-$5M,Yes,0,3500.0,0,1500.0,2500.0,1000.0,3500.0,0,FINANCIAL SERVICES INSTITUTE PAC,5000.0,financial_services,NATIONAL ASSOCIATION OF MORTGAGE BROKERS PAC,2500.0,lending,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION POLITICAL ACTION COMMITTEE (INSURING AMERICA PAC),2500.0,insurance,CITADEL SECURITIES,8600.0,securities,COLDWELL BANKER,1000.0,real_estate,No,Yes
"Smith, Tina",S001203,D,Minnesota,senate,55.0,78.8,36.2,42.2,142501.0,100001,0,36265.0,13,55,23,1965.7,insurance,30.1,$1M-$5M,3000000,$1M-$5M,Yes,10000.0,19500.0,4000.0,0,0,0,0,0,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",5000.0,banking,CITIGROUP INC. PAC - FEDERAL (CITI PAC - FEDERAL),5000.0,banking,FINANCIAL SERVICES INSTITUTE PAC,5000.0,financial_services,CAPITAL GROUP,30000.0,investment,ROCKET MORTGAGE,3300.0,lending,No,Yes
"Tillis, Thomas",T000476,R,North Carolina,senate,23.8,59.6,0.0,0.0,100000.0,0,0,252850.0,0,173,136,1763.5,insurance,30.9,$5M-$10M,7500000,$5M-$25M,No,30000.0,30000.0,10000.0,10000.0,0,10000.0,0,0,SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION POLITICAL ACTION COMMITTEE,10000.0,securities,"TRUIST FINANCIAL CORPORATION FEDERAL PAC (FORMERLY SUNTRUST BANKS, INC. POLITICAL ACTION COMMITTEE)",10000.0,banking,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,10000.0,insurance,BLACKSTONE,67400.0,private_equity,METLIFE,34600.0,insurance,No,Yes
"Sullivan, Dan",S001198,R,Alaska,senate,41.2,37.1,40.0,48.0,68009.0,9009,0,2438011.0,48,43,4861,1825.7,investment,30.0,$5M-$10M,7500000,$5M-$25M,No,10000.0,16500.0,27500.0,0,0,5000.0,0,0,NATIONAL APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE,10000.0,real_estate,MANUFACTURED HOUSING INSTITUTE PAC,7500.0,real_estate,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),6500.0,insurance,CHARLES SCHWAB CORPORATION,640500.0,investment,APOLLO MANAGEMENT,289100.0,private_equity,No,No
"Thune, John",T000250,R,South Dakota,senate,19.1,47.9,0.0,0.0,80530.0,0,0,53700.0,0,60,24,1378.1,insurance,24.3,$5M-$15M,10000000,$5M-$25M,No,15000.0,26000.0,5030.0,12500.0,17000.0,0,0,5000.0,"THE GOLDMAN SACHS GROUP, INC. POLITICAL ACTION COMMITTEE",15000.0,investment_banking,THE FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE,10000.0,lending,CROP INSURANCE PROFESSIONALS ASSOCIATION PAC-CIPA PAC,10000.0,insurance,BLACKSTONE,25100.0,private_equity,KKR,6600.0,private_equity,No,No
"Sheehy, Tim",S001232,R,Montana,senate,21.0,52.5,0.0,0.0,87500.0,0,0,319304.0,0,45,182,2495.7,private_equity,42.8,$500K-$2M,1250000,$1M-$5M,No,37500.0,10000.0,20000.0,10000.0,0,0,10000.0,0,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS (BUILDPAC),10000.0,real_estate,"FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC",10000.0,banking,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),10000.0,banking,BLACKSTONE,202295.0,private_equity,FIDELITY NATIONAL FINANCIAL,12606.0,investment,No,No
"Scott, Rick",S001217,R,Florida,senate,65.7,92.6,54.5,41.0,218525.0,0,0,21560.0,6,53,62,3582.0,real_estate,54.7,$200M-$300M,250000000,$100M+,No,15000.0,27500.0,161025.0,0,0,5000.0,10000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,146025.0,real_estate,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),10000.0,insurance,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),10000.0,banking,APOLLO MANAGEMENT,9900.0,private_equity,MORGAN STANLEY,5000.0,investment_banking,No,No
"Slotkin, Elissa",S001208,D,Michigan,senate,8.6,21.4,0.0,0.0,42666.0,0,0,149925.0,0,13,333,1518.1,insurance,25.6,$1M-$5M,3000000,$1M-$5M,Yes,0,35166.0,2500.0,0,0,0,5000.0,0,PROGRESSIVE WOMEN'S ALLIANCE OF WEST MICHIGAN,10000.0,insurance,"LATINO LEADERS FOR EQUALITY, GROWTH, OPPORTUNITY, PROGRESSIVE ACTION & CHANGE (LLEGO-PAC)",10000.0,insurance,PROGRESSIVE TURNOUT PROJECT,10000.0,insurance,BAIN CAPITAL,13200.0,private_equity,GOLDMAN SACHS,12805.0,investment_banking,No,No
"Scott, Tim",S001184,R,South Carolina,senate,26.2,65.5,0.0,0.0,110000.0,0,0,341705.0,0,93,380,1559.7,investment_banking,23.5,$500K-$2M,1250000,$1M-$5M,No,20000.0,40000.0,0,20000.0,0,0,30000.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",20000.0,credit_unions,UNITED SERVICES AUTOMOBILE ASSOCIATION EMPLOYEE PAC - USAA EMPLOYEE PAC,10000.0,insurance,"NAFCU PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",10000.0,credit_unions,GOLDMAN SACHS,108900.0,investment_banking,BLACKSTONE,80600.0,private_equity,No,Yes
"Shaheen, Jeanne",S001181,D,New Hampshire,senate,8.0,19.9,0.0,0.0,40500.0,0,0,12800.0,0,32,16,2479.3,banking,40.1,$1M-$5M,3000000,$1M-$5M,Yes,15500.0,8000.0,3000.0,6500.0,5000.0,0,2500.0,0,REGIONS FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,5500.0,banking,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),5500.0,insurance,"CITIZENS FINANCIAL GROUP, INC. POLITICAL ACTION COMMITTEE (CITIZENS PAC)",5000.0,banking,CITIZENS FINANCIAL GROUP,5000.0,banking,CITIZENS BANK,3500.0,banking,No,No
"Schmitt, Eric",S001227,R,Missouri,senate,9.4,23.5,0.0,0.0,46000.0,0,0,88895.0,0,22,37,2318.0,investment,28.5,$1M-$5M,3000000,$1M-$5M,Yes,11000.0,29500.0,0,0,0,0,0,0,THE CIGNA GROUP EMPLOYEE POLITICAL ACTION COMMITTEE,11000.0,insurance,REGIONS FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,6000.0,banking,"THE TRAVELERS COMPANIES, INC. POLITICAL ACTION COMMITTEE (T-PAC)",5000.0,insurance,EDWARD JONES,40000.0,investment,BLACKSTONE,33500.0,private_equity,No,No
"Rounds, Mike",R000605,R,South Dakota,senate,21.3,53.3,0.0,0.0,89000.0,0,0,86750.0,0,156,36,1217.6,insurance,22.8,$1M-$5M,3000000,$1M-$5M,Yes,30000.0,14500.0,0,15000.0,0,0,0,0,"THE GOLDMAN SACHS GROUP, INC. POLITICAL ACTION COMMITTEE",12500.0,investment_banking,AMERICAN FINANCIAL SERVICES ASSOCIATION PAC,12000.0,financial_services,INTERCONTINENTAL EXCHANGE INC PAC,10000.0,securities,ROCKET MORTGAGE,25200.0,lending,APOLLO,22650.0,private_equity,No,Yes
"Schatz, Brian",S001194,D,Hawaii,senate,3.7,9.3,0.0,0.0,24500.0,0,0,26100.0,0,10,8,1726.6,private_equity,20.8,$1M-$5M,3000000,$1M-$5M,Yes,1000.0,6000.0,0,5000.0,0,10000.0,0,0,"APPLIED INTUITION, INC. POLITICAL ACTION COMMITTEE (APPLIED PAC)",10000.0,payments,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),5000.0,investment,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION POLITICAL ACTION COMMITTEE (INSURING AMERICA PAC),2500.0,insurance,KKR,10500.0,private_equity,BANK OF HAWAII,7000.0,banking,No,No
"Schumer, Charles E.",S000148,D,New York,senate,8.2,20.5,0.0,0.0,41500.0,0,0,4047.0,0,13,48,2496.2,insurance,41.0,$1M-$5M,3000000,$1M-$5M,Yes,0,17500.0,0,5000.0,0,5000.0,10000.0,0,NATIONAL ASSOCIATION OF BENEFITS AND INSURANCE PROFESSIONALS PAC (NABIP PAC),5000.0,insurance,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",5000.0,credit_unions,"NAFCU PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",5000.0,credit_unions,JPMORGAN,2000.0,banking,JPMORGAN CHASE,500.0,banking,No,No
"Sanders, Bernard",S000033,I,Vermont,senate,0.0,0.0,0.0,0.0,0,0,0,34230.0,0,0,1105,2392.4,insurance,36.6,$1M-$5M,3000000,$1M-$5M,Yes,0,0,0,0,0,0,0,0,,0,,,0,,,0,,KAISER PERMANENTE,8390.0,insurance,WELLS FARGO,1985.0,banking,No,No
"Schiff, Adam B.",S001150,D,California,senate,46.8,26.8,80.0,40.2,51019.0,0,0,166872.0,1,15,622,1839.5,private_equity,31.0,$1M-$5M,3000000,$1M-$5M,Yes,6000.0,10019.0,19500.0,0,0,0,15500.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",15000.0,credit_unions,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,12000.0,real_estate,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND,10000.0,insurance,BLACKSTONE,42600.0,private_equity,KAISER PERMANENTE,16743.0,insurance,No,No
"Ricketts, Pete",R000618,R,Nebraska,senate,59.1,96.5,24.3,44.2,421543.0,300005,0,56600.0,25,86,24,2305.7,insurance,40.5,$1M-$5M,3000000,$1M-$5M,Yes,10000.0,72500.0,39038.0,0,0,0,0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,16538.0,real_estate,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM,15000.0,insurance,GENERAL DYNAMICS CORPORATION POLITICAL ACTION COMMITTEE (GENERAL DYNAMICS EMPLOYEE PAC),13500.0,insurance,APOLLO,21700.0,private_equity,LPL FINANCIAL,6600.0,investment,No,Yes
"Rosen, Jacky",R000608,D,Nevada,senate,63.8,64.1,86.7,40.7,107500.0,0,0,178042.0,4,143,588,1524.0,insurance,27.3,$1M-$5M,3000000,$1M-$5M,Yes,10000.0,33500.0,20000.0,0,10000.0,20000.0,14000.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",14000.0,credit_unions,NATIONAL ASSOCIATION OF BENEFITS AND INSURANCE PROFESSIONALS PAC (NABIP PAC),13500.0,insurance,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,10000.0,real_estate,MORGAN STANLEY,14537.0,investment_banking,KKR & CO.,14200.0,private_equity,No,No
"Paul, Rand",P000603,R,Kentucky,senate,5.1,12.8,0.0,0.0,30000.0,0,0,7616.0,0,14,165,3686.7,insurance,57.0,$1M-$5M,3000000,$1M-$5M,Yes,2500.0,20000.0,0,0,0,0,5000.0,0,BLUEPAC - BLUE CROSS BLUE SHIELD ASSOCIATION PAC,10000.0,insurance,UNITEDHEALTH GROUP INCORPORATED PAC (UNITEDHEALTH GROUP PAC),5000.0,insurance,THE CIGNA GROUP EMPLOYEE POLITICAL ACTION COMMITTEE,5000.0,insurance,RAYMOND JAMES,2000.0,investment,WELLS FARGO,884.0,banking,No,No
